u,g,r,i,z,specClass,redshift,redshift_err
19.13516,17.94836,17.42863,17.09187,16.88691,GALAXY,0.09427003,6.908307e-06
19.42958,17.8372,17.07376,16.72703,16.45824,GALAXY,0.03468712,3.324879e-05
19.46914,17.80883,16.94563,16.54578,16.23089,GALAXY,0.09406935,2.780451e-05
19.468,17.36783,16.38718,15.93723,15.59484,GALAXY,0.1001217,2.242757e-05
19.57417,18.08566,17.23269,16.83855,16.53931,GALAXY,0.1456045,1.681461e-05
19.50468,18.32009,17.74913,17.3817,17.17192,GALAXY,0.1016891,1.116004e-05
18.81736,17.71881,17.10446,16.65983,16.42963,GALAXY,0.09076808,6.131711e-06
19.38035,17.47257,16.45336,15.91664,15.47586,GALAXY,0.06333988,2.045997e-05
17.9099,17.6099,17.47314,17.1429,17.11501,QSO,1.770523,0.0001457701
18.85388,18.23488,18.01193,17.49417,17.57685,GALAXY,0.1130274,7.263281e-06
19.50939,17.75716,16.7418,16.28689,15.95034,GALAXY,0.1397783,2.220604e-05
19.51282,17.75458,16.82673,16.3222,16.01702,GALAXY,0.07900605,1.242939e-05
19.09687,17.18067,16.23233,15.81135,15.496,GALAXY,0.074072,1.350116e-05
17.26298,17.05734,16.82287,16.54268,16.57585,QSO,0.2374082,2.528237e-05
18.23352,16.28529,15.34548,14.83772,14.43685,GALAXY,0.0488678,3.282993e-05
17.87265,16.45679,15.75147,15.33449,15.00117,GALAXY,0.04972118,5.822139e-06
18.41596,17.23816,16.75388,16.45004,16.2776,GALAXY,0.05833568,6.532584e-06
18.66692,17.36525,16.4879,16.06132,15.71429,GALAXY,0.03173916,8.059927e-06
18.86425,17.74418,17.41307,17.26732,17.13025,GALAXY,0.009556307,6.605145e-06
18.90434,18.72553,18.46624,18.49072,18.59979,QSO,1.019279,0.0003723261
18.47461,16.61397,15.66799,15.2302,14.90707,GALAXY,0.08979246,1.866475e-05
18.60721,17.54872,17.2737,17.16007,16.87635,GALAXY,0.03501083,6.192691e-06
16.90281,15.48814,14.72701,14.30484,14.01394,GALAXY,0.03586346,1.244141e-05
19.13712,17.20827,16.29004,15.86849,15.52011,GALAXY,0.09527428,1.980006e-05
18.84479,17.43078,16.69576,16.25964,15.92314,GALAXY,0.0471938,8.207587e-06
19.32236,17.30286,16.3965,15.90395,15.58946,GALAXY,0.05207134,1.304667e-05
18.26114,17.05778,16.42304,16.03446,15.7756,GALAXY,0.05085672,7.421037e-06
19.16405,18.03174,17.55507,17.2754,17.09021,GALAXY,0.0299191,6.802367e-06
18.49548,17.44221,17.03656,16.74932,16.59887,GALAXY,0.06487294,8.807368e-06
18.9603,16.98381,16.04496,15.6101,15.2557,GALAXY,0.07230895,1.944495e-05
18.89516,17.52643,16.84552,16.47962,16.17891,GALAXY,0.07752212,1.562098e-05
18.79447,18.50202,18.55693,18.39983,18.28629,QSO,0.4809793,6.733569e-05
18.66504,16.70408,15.77217,15.31131,14.9801,GALAXY,0.06174261,1.444157e-05
19.54126,18.42438,17.84806,17.54246,17.30463,GALAXY,0.09559603,1.098004e-05
18.08229,16.75918,16.02124,15.59078,15.31615,GALAXY,0.1183967,7.904692e-06
19.51999,19.12904,18.86492,18.55372,18.49627,QSO,1.61513,0.0004099852
18.67292,17.60361,17.18489,16.91743,16.78491,GALAXY,0.09422838,7.078097e-06
19.4964,19.12073,18.89048,18.68028,18.52148,QSO,0.4472508,0.0001389817
19.461,18.37761,17.87916,17.55396,17.34636,GALAXY,0.04937574,3.434786e-06
19.07053,17.10778,16.20586,15.77584,15.47864,GALAXY,0.09180684,1.474116e-05
19.55696,18.97533,18.52729,18.1106,17.95428,QSO,1.807377,0.0003493913
17.85347,16.39025,15.70348,15.32031,15.04276,GALAXY,0.05091067,1.751999e-05
19.51149,18.34344,17.66203,17.27781,17.11711,GALAXY,0.1853907,1.08185e-05
18.59122,17.56834,17.24212,17.24257,18.17929,GALAXY,0.005018893,1.212132e-05
18.62494,17.5206,17.22965,17.00678,16.95024,GALAXY,0.01744578,7.506292e-06
19.44935,19.11551,18.88408,18.89715,18.78528,QSO,2.184197,-1.0
17.49285,15.46823,14.40421,13.94203,13.7103,GALAXY,0.04508678,1.460069e-05
19.10082,18.10323,17.72981,17.49774,17.31095,GALAXY,0.03651829,6.428357e-06
18.00942,16.66393,16.22457,15.98316,15.7987,GALAXY,0.03385099,6.683901e-06
18.83102,17.7113,17.33597,17.07369,16.93264,GALAXY,0.03417655,6.854373e-06
18.97633,18.72061,18.26428,18.0052,17.57548,QSO,0.2871885,4.858934e-05
19.5446,17.858,16.92718,16.49267,16.17573,GALAXY,0.1224446,3.378655e-05
19.23624,17.94337,17.17659,16.67551,16.38365,GALAXY,0.1292756,7.568616e-06
18.11827,17.00064,16.50158,16.16267,15.96012,GALAXY,0.06790844,6.981274e-06
18.46679,17.48038,17.08652,16.77083,16.64246,GALAXY,0.06501613,5.155571e-06
19.15886,18.73021,18.14559,17.73819,17.57264,QSO,0.2364946,3.198465e-05
17.89121,16.60621,16.15284,15.83066,15.66146,GALAXY,0.05005276,8.03522e-06
19.27742,17.94213,17.25159,16.82276,16.55212,GALAXY,0.1191369,1.386619e-05
19.20484,18.04625,17.45525,17.06547,16.89602,GALAXY,0.1302863,7.747297e-06
18.90674,17.62072,17.12772,16.79147,16.6333,GALAXY,0.05023361,9.044459e-06
17.70432,15.74613,14.86987,14.42458,14.06424,GALAXY,0.03573745,1.272922e-05
19.2625,18.88108,18.78269,18.69007,18.56901,QSO,0.7390471,0.0003226392
19.08085,17.90528,17.35667,17.02299,16.88263,GALAXY,0.05465151,9.834558e-06
17.49675,15.35373,14.29405,13.74822,13.30562,GALAXY,0.03491728,8.888172e-06
19.37546,19.12348,19.12943,18.97332,19.0195,QSO,1.64571,0.0008538492
19.3383,17.2812,16.3051,15.83324,15.45742,GALAXY,0.05894667,1.679228e-05
18.93397,17.88541,17.64504,17.49041,17.37186,GALAXY,0.03652044,6.015839e-06
18.9936,17.70097,17.19491,16.91113,16.65537,GALAXY,0.05079896,1.06182e-05
19.30253,18.12831,17.68444,17.37064,17.18306,GALAXY,0.06204247,7.466486e-06
19.58178,18.1761,17.66115,17.30564,17.15172,GALAXY,0.1047384,9.080859e-06
18.44193,16.58164,15.71457,15.29276,14.97586,GALAXY,0.04640606,1.142043e-05
19.5661,17.54426,16.28679,15.77203,15.41617,GALAXY,0.1646083,1.811603e-05
19.34359,18.7627,18.59846,18.49608,18.22111,QSO,2.324005,0.0002432284
18.62466,17.35527,16.8895,16.66123,16.50394,GALAXY,0.008126457,1.244834e-05
19.13647,18.90291,18.82139,18.58356,18.59186,QSO,1.605674,0.0003033605
19.07729,17.86594,17.30859,16.98592,16.91827,GALAXY,0.07129142,1.597563e-05
19.2474,18.07983,17.5147,17.17106,16.90836,GALAXY,0.03911588,7.525123e-06
19.41597,18.13948,17.61357,17.27831,17.13313,GALAXY,0.05516746,6.582829e-06
19.42564,18.15082,17.64816,17.3079,17.08237,GALAXY,0.06423184,1.028649e-05
19.12848,17.78318,16.96854,16.58033,16.3463,GALAXY,0.1018469,2.113161e-05
17.53416,15.74551,14.83744,14.35895,13.94427,GALAXY,0.03862577,1.375204e-05
18.00691,16.10458,15.24756,14.83295,14.5229,GALAXY,0.04125806,9.866154e-06
18.8552,17.69841,17.25339,17.0292,16.8434,GALAXY,0.02840798,6.595711e-06
17.65128,16.53953,15.92023,15.42801,15.09648,GALAXY,0.0325022,9.272195e-06
18.76796,16.81179,15.70829,15.13093,14.69521,GALAXY,0.04029107,1.248319e-05
18.61183,16.64854,15.72884,15.27463,14.93847,GALAXY,0.06033649,1.914673e-05
17.70016,16.41639,16.02855,15.82421,15.72409,GALAXY,0.03030083,6.690247e-06
18.0869,16.68876,16.01237,15.65349,15.29685,GALAXY,0.04746177,1.050098e-05
19.20119,17.37043,16.70735,16.35498,16.09707,GALAXY,0.02734328,9.284322e-06
19.42129,18.07822,17.38736,16.98812,16.72759,GALAXY,0.07403176,9.73596e-06
18.95656,18.03328,17.70045,17.43174,17.37305,GALAXY,0.0622246,7.29059e-06
19.56915,19.45349,19.2366,19.2148,19.22129,QSO,1.237712,0.0007999507
18.35434,17.09916,16.49661,16.20484,16.03421,GALAXY,0.0330619,1.220559e-05
19.29183,18.58921,18.35187,18.20132,19.26151,GALAXY,0.008878388,1.311266e-05
19.28666,19.21952,19.04372,19.14399,19.42164,GALAXY,0.0,0.0
19.51385,18.87451,18.79229,18.67252,18.43752,QSO,2.245245,0.0002859645
19.58543,17.81209,16.80274,16.34657,16.00274,GALAXY,0.1425074,1.647183e-05
16.93833,15.49659,14.78923,14.39523,14.09479,GALAXY,0.03303127,1.18437e-05
19.22298,17.20654,15.99587,15.47352,15.18241,GALAXY,0.08931804,3.339323e-05
18.74722,18.41046,18.4446,18.33002,18.29372,QSO,0.5288207,7.817114e-05
18.25922,17.15127,16.69586,16.47907,16.35023,GALAXY,0.02632841,1.077593e-05
19.215,18.87233,18.70894,18.49421,18.23338,QSO,2.151448,0.0001854928
18.46521,17.03372,16.44641,16.13458,15.95689,GALAXY,0.05611392,1.565609e-05
19.25667,18.20036,17.71306,17.38885,17.18086,GALAXY,0.1038497,8.480713e-06
19.37291,18.20912,17.64366,17.31212,17.11495,GALAXY,0.1196517,1.190314e-05
19.44301,18.33644,17.68936,17.28492,17.02561,GALAXY,0.1714854,8.466833e-06
17.98504,16.74724,16.19413,15.86266,15.6365,GALAXY,0.05087515,1.022753e-05
18.80156,16.79599,15.85804,15.39089,15.02489,GALAXY,0.05285435,1.417355e-05
19.04845,17.12435,16.24688,15.83714,15.53245,GALAXY,0.05543813,1.273901e-05
19.2484,18.3809,17.83507,17.42786,17.29745,QSO,1.77938,0.0007647313
18.78557,17.63194,17.13419,16.88258,16.63667,GALAXY,0.02951835,1.193318e-05
19.21696,18.15485,17.62438,17.23228,17.08271,GALAXY,0.09744503,5.146976e-06
17.74079,17.30122,17.39157,17.24052,17.13534,QSO,0.5086351,5.260569e-05
19.45382,18.03023,16.97993,16.51107,16.16232,GALAXY,0.2255904,1.376314e-05
18.83305,18.11598,17.68299,17.40076,17.35082,QSO,1.941728,0.0001355449
17.346,16.22328,15.82279,15.53437,15.54417,GALAXY,0.04827658,7.605353e-06
19.20978,19.11937,18.82952,18.81747,18.917,QSO,1.210009,0.0003769875
19.34017,17.67783,17.02968,16.64611,16.44197,GALAXY,0.101949,1.009196e-05
19.59524,17.67892,16.73691,16.30513,15.92995,GALAXY,0.06071372,1.982396e-05
19.48389,17.99271,17.08531,16.68432,16.35237,GALAXY,0.1241256,2.936333e-05
19.14157,17.72455,17.19228,16.8912,16.63325,GALAXY,0.05217156,1.086775e-05
19.18435,17.53037,16.69847,16.23314,15.87368,GALAXY,0.08228759,3.378593e-05
19.52988,18.22087,17.67268,17.30442,17.11887,GALAXY,0.08275817,9.149606e-06
19.05467,17.55211,16.66136,16.22982,15.91126,GALAXY,0.1180504,1.656939e-05
19.57885,18.28685,17.71975,17.41685,17.24948,GALAXY,0.0565159,8.580516e-06
18.93131,17.96815,17.46452,17.00245,16.85393,GALAXY,0.11266,7.662313e-06
18.62253,17.0404,16.22927,15.78013,15.46724,GALAXY,0.06530165,1.051916e-05
19.46565,18.56107,18.30585,18.01467,18.05149,GALAXY,0.09091191,6.964795e-06
19.59537,18.27123,17.74354,17.38597,17.19158,GALAXY,0.1047541,9.136922e-06
19.50989,17.73624,16.73923,16.28328,15.96819,GALAXY,0.1040848,2.111948e-05
19.46615,18.32395,17.8311,17.49282,17.30357,GALAXY,0.04079013,5.42387e-06
19.2356,17.7973,17.15115,16.79571,16.57983,GALAXY,0.09184491,2.11416e-05
18.36568,17.54384,17.40642,17.28527,17.19353,GALAXY,0.04749937,6.075451e-06
19.35585,18.80595,18.46351,18.44067,18.24809,QSO,0.8921555,0.0001527154
19.5288,17.51244,16.49977,16.04833,15.69727,GALAXY,0.09398235,1.50592e-05
17.69815,15.71018,14.86859,14.44143,14.1342,GALAXY,0.04689554,1.167061e-05
16.86908,15.45061,14.83184,14.48612,14.24625,GALAXY,0.03664936,1.465275e-05
16.67139,15.37529,14.73847,14.39186,14.14454,GALAXY,0.03816783,1.117449e-05
18.35483,17.27723,16.80971,16.45989,16.31145,GALAXY,0.1118915,6.291258e-06
18.62206,17.37177,16.81573,16.46378,16.29424,GALAXY,0.06148464,8.235349e-06
17.00614,15.61708,14.9661,14.61168,14.32356,GALAXY,0.03855768,1.489919e-05
18.57028,17.62787,17.24474,17.05653,16.86372,GALAXY,0.03483553,7.795516e-06
18.10796,16.72093,15.95348,15.50111,15.1986,GALAXY,0.07934669,5.005966e-06
19.52411,17.99299,17.14338,16.67672,16.37898,GALAXY,0.1128442,1.211678e-05
19.22844,17.99179,17.43487,17.04498,16.92274,GALAXY,0.1058562,6.727863e-06
18.44643,17.02767,16.60025,16.3825,16.28693,GALAXY,0.04260649,1.380638e-05
18.19547,16.30773,15.42731,14.98979,14.65363,GALAXY,0.03341209,1.22901e-05
19.55953,17.96387,17.00841,16.52616,16.15041,GALAXY,0.1200586,1.708977e-05
19.12542,17.71572,16.7569,16.26777,15.95927,GALAXY,0.1663155,1.302049e-05
18.89812,17.5966,17.0182,16.6389,16.42115,GALAXY,0.06016331,8.476148e-06
18.36679,16.67771,15.80625,15.34688,14.9629,GALAXY,0.03250279,5.512066e-06
18.9591,17.598,16.95856,16.57808,16.34703,GALAXY,0.08551148,7.346242e-06
19.03761,17.40425,16.85019,16.51239,16.24677,GALAXY,0.03451204,9.588399e-06
19.45755,18.22717,17.72011,17.38034,17.14365,GALAXY,0.05401395,6.889799e-06
19.23998,17.56045,16.64229,16.20539,15.88092,GALAXY,0.09086649,3.426301e-05
17.95079,16.69164,16.17415,15.86622,15.61787,GALAXY,0.04939231,9.02992e-06
16.64863,14.65989,13.74368,13.30803,12.97777,GALAXY,0.04246918,1.044324e-05
19.17211,18.22222,17.85064,17.58555,17.34159,GALAXY,0.05031227,5.050194e-06
18.50402,16.65415,15.84072,15.46409,15.1555,GALAXY,0.04949263,9.614457e-06
19.59746,19.38847,19.12336,19.202,19.20482,QSO,1.043772,0.0004863011
19.53255,17.77073,16.82471,16.34631,15.94876,GALAXY,0.02956784,1.128092e-05
18.21807,17.259,16.82957,16.57332,16.37443,GALAXY,0.03426699,5.924983e-06
18.59678,17.42195,16.85015,16.48593,16.26122,GALAXY,0.1036247,1.119675e-05
17.59579,16.29724,15.63558,15.2484,14.97285,GALAXY,0.06798414,1.48999e-05
19.52359,18.24981,17.55417,17.13552,16.91829,GALAXY,0.1465684,8.177049e-06
19.33652,19.41019,19.65644,19.86763,20.09208,QSO,2.595938,0.0002649217
19.14152,17.72336,16.87408,16.41787,16.09093,GALAXY,0.107635,1.499344e-05
19.55289,18.17181,17.61462,17.23604,16.99156,GALAXY,0.05008214,7.65552e-06
19.36349,18.92792,18.83647,18.84539,18.95091,QSO,0.7189083,0.4496622
18.97219,17.48959,16.87476,16.56033,16.32945,GALAXY,0.04136869,1.491527e-05
16.83204,15.55462,14.96574,14.6489,14.40034,GALAXY,0.03385134,1.547021e-05
19.20184,18.15674,17.59619,17.19441,16.9529,GALAXY,0.1111732,7.854754e-06
19.12434,17.1111,16.12681,15.68609,15.36291,GALAXY,0.08067919,1.393522e-05
18.94131,18.83919,18.55667,18.46832,18.48423,QSO,1.327114,0.000257729
19.15141,17.38966,16.55468,16.13629,15.81388,GALAXY,0.08684945,2.212921e-05
18.47363,17.31592,16.81347,16.4527,16.23914,GALAXY,0.04745057,6.616052e-06
18.42923,17.09918,16.53347,16.2653,16.01387,GALAXY,0.03541929,2.30211e-05
19.50384,18.11734,17.31736,16.84996,16.535,GALAXY,0.1095031,1.365019e-05
18.62278,16.8338,15.89215,15.40226,14.97238,GALAXY,0.03690074,1.349632e-05
17.75322,15.77269,14.89374,14.46546,14.15279,GALAXY,0.05668495,1.228041e-05
19.55626,17.69527,16.8042,16.34338,16.0013,GALAXY,0.09025521,1.968048e-05
18.77807,15.2265,14.30361,13.80815,13.60167,GALAXY,0.05009068,1.441039e-05
18.98463,17.04407,16.57671,16.10031,16.11387,GALAXY,0.07937952,9.719474e-06
19.15003,17.34273,16.39125,15.96213,15.63132,GALAXY,0.1076003,1.674054e-05
19.34186,17.38994,16.49698,16.08571,15.78081,GALAXY,0.1016537,1.946225e-05
19.34439,18.15495,17.5657,17.22436,16.99483,GALAXY,0.1284974,1.245757e-05
18.97149,17.90862,17.46487,17.29761,17.13793,GALAXY,0.03540543,1.14178e-05
19.41538,18.29522,17.79544,17.45923,17.32674,GALAXY,0.1117939,9.996075e-06
19.24481,17.44561,16.48433,16.05168,15.72122,GALAXY,0.1277286,2.004659e-05
17.25621,16.15858,15.59465,15.24345,14.95534,GALAXY,0.04081219,9.912912e-06
18.87318,17.05785,16.10153,15.6329,15.28835,GALAXY,0.05602092,1.456115e-05
19.32733,18.0732,17.54386,17.33883,17.16544,GALAXY,0.03312257,9.608055e-06
17.98227,16.77555,16.31778,16.0655,15.93756,GALAXY,0.03396122,9.832925e-06
19.21835,18.10571,17.43447,17.03715,16.83485,GALAXY,0.1488631,9.659591e-06
19.21379,18.40521,18.24242,18.13168,17.84311,QSO,2.378065,0.0001199821
18.88971,17.4524,16.65919,16.23775,15.9687,GALAXY,0.1433808,8.451893e-06
19.51098,18.26393,17.6392,17.31244,17.10123,GALAXY,0.1407459,9.913219e-06
19.07996,17.77183,16.98446,16.52057,16.23232,GALAXY,0.08924216,7.407169e-06
19.51316,18.12732,17.42273,17.11751,16.74444,GALAXY,0.127467,2.177098e-05
18.91234,17.19453,16.29519,15.87841,15.55555,GALAXY,0.03284491,1.377139e-05
18.64803,16.5854,15.52424,15.07398,14.65705,GALAXY,0.09351384,1.659218e-05
19.59195,19.05176,18.68828,18.43376,18.48508,GALAXY,0.225621,8.006195e-06
19.3048,17.5711,16.72036,16.26595,15.95368,GALAXY,0.1230174,2.192382e-05
19.3054,18.02488,16.99228,16.50235,16.17892,GALAXY,0.150426,1.738921e-05
19.26835,17.15393,16.0052,15.53244,15.14228,GALAXY,0.1328307,2.029856e-05
18.95887,18.03206,17.61144,17.30547,17.16969,GALAXY,0.1209847,7.683738e-06
19.05025,17.03299,16.05566,15.59159,15.19517,GALAXY,0.07436354,2.47457e-05
19.47674,17.95767,17.43525,17.13497,17.04401,GALAXY,0.1019792,8.91765e-06
18.59544,17.5542,20.72934,16.15292,25.27419,QSO,2.379225,0.0004752709
19.59922,18.31711,17.66297,17.27599,16.9995,GALAXY,0.0600281,9.623172e-06
18.85658,16.85813,15.88173,15.40823,15.01339,GALAXY,0.051974,1.156794e-05
17.85271,17.75099,17.74959,17.51455,17.45803,QSO,1.734416,0.0001590689
18.91129,17.10849,16.17549,15.68769,15.30014,GALAXY,0.04927764,7.584245e-06
18.76854,17.14161,16.30025,15.8593,15.50449,GALAXY,0.05179714,7.90455e-06
18.68553,16.71797,15.82401,15.40003,15.05685,GALAXY,0.05061272,1.01317e-05
18.74191,16.78006,15.84591,15.39206,15.0474,GALAXY,0.05406479,9.471781e-06
18.44214,17.08504,16.5176,16.17832,15.94866,GALAXY,0.05470929,1.699255e-05
16.56333,14.753,13.87684,13.41755,13.0565,GALAXY,0.01861741,8.3553e-06
19.38626,18.18393,17.64915,17.31724,17.12184,GALAXY,0.05217202,7.989883e-06
18.08888,17.8812,17.92886,17.91861,17.87477,QSO,0.7005752,0.0001583081
19.2093,17.28266,16.35978,15.95987,15.63836,GALAXY,0.07302662,1.152994e-05
19.46248,17.49423,16.26382,15.69881,15.28011,GALAXY,0.1673064,3.491873e-05
19.48365,18.87625,18.41803,18.02484,18.02651,GALAXY,0.1903223,1.021369e-05
16.96312,15.39655,14.83336,14.71953,14.65307,GALAXY,0.01479026,3.50157e-05
19.40368,18.94534,18.73802,18.48311,18.43614,QSO,1.674095,0.0004755578
18.54518,17.22792,16.71967,16.44446,16.26982,GALAXY,0.05865841,1.159053e-05
16.81028,14.92944,14.05941,13.59783,13.27672,GALAXY,0.0489837,1.478983e-05
19.58517,18.27621,17.60311,17.23292,16.96309,GALAXY,0.0725696,1.555301e-05
18.41804,17.68338,17.05613,16.82617,16.39264,QSO,0.3140998,7.112175e-05
18.63703,18.33043,18.14837,18.11554,18.00972,QSO,2.086716,0.0005241164
19.0937,17.01645,16.03586,15.61104,15.25451,GALAXY,0.09487954,1.568786e-05
18.42466,17.31114,16.86756,16.49834,16.38268,GALAXY,0.08527523,6.294835e-06
18.93767,17.03938,15.98915,15.44581,15.03827,GALAXY,0.07938673,1.022831e-05
19.46498,18.22781,17.75476,17.39917,17.3011,GALAXY,0.1108172,7.26927e-06
19.33747,19.14127,19.03585,18.85448,18.48047,QSO,0.3913201,4.24583e-05
19.43869,17.69814,16.80477,16.33553,15.97758,GALAXY,0.05010024,1.171051e-05
19.54126,17.63705,16.68826,16.17951,15.76057,GALAXY,0.07722412,2.205016e-05
18.86556,17.83413,17.42338,17.02463,16.89546,GALAXY,0.05957793,4.695651e-06
18.49081,18.27954,18.16973,17.98482,18.14811,QSO,1.523947,0.0002562384
19.09588,17.22076,16.32991,15.93065,15.60701,GALAXY,0.1116368,1.637676e-05
19.59945,18.26163,17.74958,17.45231,17.27181,GALAXY,0.05380653,1.108074e-05
18.66479,17.33307,16.57034,16.11176,15.8189,GALAXY,0.1208035,1.338108e-05
18.75351,16.93266,16.06235,15.62801,15.29512,GALAXY,0.03592745,1.304345e-05
18.96823,17.15032,16.26687,15.84579,15.50852,GALAXY,0.05342097,9.323082e-06
18.83008,18.594,18.18941,18.04633,18.02627,QSO,1.219517,0.0002447637
18.91692,16.93604,15.83266,15.37132,14.97262,GALAXY,0.1188725,3.384524e-05
17.25127,15.99064,15.44346,15.08409,14.85809,GALAXY,0.06133609,7.805583e-06
19.53845,17.47166,16.52462,16.10716,15.81233,GALAXY,0.08189766,1.668708e-05
19.3045,19.60934,20.02985,20.32043,20.35528,QSO,1.462861,25.70891
19.47356,17.46851,16.4664,16.04495,15.74999,GALAXY,0.09274167,2.131153e-05
18.8722,17.50456,16.75185,16.29573,16.00568,GALAXY,0.08589312,7.572882e-06
18.45926,16.45872,15.53397,15.08301,14.72612,GALAXY,0.0648095,1.24707e-05
19.39447,18.15789,17.48086,17.11394,16.84401,GALAXY,0.1240948,1.031503e-05
19.58401,19.16389,19.25299,19.11003,19.07074,QSO,0.5675475,8.399821e-05
19.23034,17.54165,17.14823,16.52709,16.37853,GALAXY,0.06384578,1.234358e-05
19.16704,17.96421,17.61248,17.36727,17.23761,GALAXY,0.03592489,6.199949e-06
17.55299,16.52344,16.07285,15.81848,15.67118,GALAXY,0.03582057,7.374121e-06
18.62621,17.58757,17.17063,16.8858,16.72647,GALAXY,0.04018287,6.849597e-06
18.08999,16.78642,16.20525,15.84107,15.60357,GALAXY,0.04313297,9.322666e-06
19.4955,18.19617,17.74549,17.47643,17.43421,GALAXY,0.03494829,8.534947e-06
16.68528,15.33435,14.68224,14.29946,13.99448,GALAXY,0.03861617,7.428298e-06
18.5148,16.71343,15.82549,15.38536,15.05126,GALAXY,0.029881,1.219667e-05
19.29062,18.25167,17.87047,17.60295,17.41158,GALAXY,0.03437765,6.664775e-06
18.45197,18.24435,17.94294,17.76114,17.65912,QSO,1.401005,0.0001401075
19.49401,17.92878,17.19687,16.77566,16.50451,GALAXY,0.1324542,3.640683e-05
18.70665,17.5442,17.06201,16.76061,16.62521,GALAXY,0.0645963,7.869672e-06
19.35492,18.3103,17.89449,17.56663,17.39856,GALAXY,0.0712271,7.555694e-06
18.65486,17.2241,16.58138,16.13315,15.90098,GALAXY,0.04946364,6.501471e-06
16.81472,14.94064,14.07944,13.62892,13.33294,GALAXY,0.03570602,9.213407e-06
18.37172,16.30096,15.29378,14.78932,14.42146,GALAXY,0.07215713,1.5123e-05
17.59114,16.31719,15.73996,15.41315,15.18904,GALAXY,0.04618763,1.128984e-05
18.45198,17.12134,16.48526,16.06147,15.81343,GALAXY,0.07542698,6.207076e-06
19.20787,18.23195,17.91893,17.68966,17.55822,GALAXY,0.04758136,5.901391e-06
18.86524,16.95443,16.07183,15.66372,15.32779,GALAXY,0.04912951,1.010987e-05
19.08925,17.90518,17.24444,16.84689,16.65044,GALAXY,0.1167392,1.370231e-05
17.98749,17.63986,17.62483,17.51446,17.40864,QSO,0.4518049,4.019964e-05
18.30649,17.3188,16.84608,16.48211,16.34857,GALAXY,0.06122128,8.449821e-06
18.64501,18.52906,18.28829,17.95482,17.86297,GALAXY,0.0,0.0
18.52171,18.3053,17.86881,17.4626,17.35015,QSO,0.1681009,1.793843e-05
18.95112,18.82119,18.63535,18.62395,18.71391,QSO,1.200781,0.0003616626
19.1256,17.83192,17.27954,16.9627,16.74741,GALAXY,0.04719068,1.135277e-05
19.00089,17.66628,16.952,16.53225,16.27882,GALAXY,0.07586754,1.043607e-05
18.71761,17.30397,16.55577,16.17871,15.89709,GALAXY,0.03051392,1.105693e-05
19.13929,18.78791,18.6615,18.44842,18.45746,QSO,1.510623,0.0003628522
18.8332,18.17888,17.90826,17.55887,17.55751,GALAXY,0.1409981,1.394258e-05
19.49088,18.19454,17.51842,17.07245,16.8659,GALAXY,0.1055732,8.270424e-06
17.24543,16.10283,15.57658,15.27614,15.06907,GALAXY,0.05141774,1.064198e-05
19.35925,18.14845,17.37798,16.95006,16.66356,GALAXY,0.1294539,8.464811e-06
18.28972,18.02795,17.6081,17.14392,16.98891,QSO,0.1440471,2.897595e-05
18.16153,16.19178,15.31107,14.85961,14.53298,GALAXY,0.04622817,1.091209e-05
